O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes,Constituency,Distirct,Alliance,,,
1,A K M Ashraf,Indian Union Muslim League,65190,568,65758,38.14,Manjeshwar,Kasaragod,UDF,,,
2,V V Rameshan,Communist Party of India (Marxist),40098,541,40639,23.57,Manjeshwar,Kasaragod,LDF,,,
3,K Surendran,Bharatiya Janata Party,64000,1013,65013,37.7,Manjeshwar,Kasaragod,NDA,,,
4,Praveen Kumar S,Anna Democratic Human Rights Movement Party of India,250,1,251,0.15,Manjeshwar,Kasaragod,OTH,,,
5,John D Souza I,Independent,180,1,181,0.1,Manjeshwar,Kasaragod,OTH,,,
6,Surendran M S/O Padmavathi M,Independent,196,1,197,0.11,Manjeshwar,Kasaragod,OTH,,,
7,Nota,None of the Above,387,0,387,0.22,Manjeshwar,Kasaragod,OTH,,,
1,N A Nellikkunnu,Indian Union Muslim League,62824,472,63296,43.8,Kasaragod,Kasaragod,UDF,,,
2,Vijaya K P,Bahujan Samaj Party,664,15,679,0.47,Kasaragod,Kasaragod,OTH,,,
3,Adv K Shreekanth,Bharatiya Janata Party,49737,658,50395,34.88,Kasaragod,Kasaragod,NDA,,,
4,Ranjith Raj M,Anna Democratic Human Rights Movement Party of India,545,10,555,0.38,Kasaragod,Kasaragod,OTH,,,
5,M A Latheef,Indian National League,28028,295,28323,19.6,Kasaragod,Kasaragod,LDF,,,
6,Nishanth Kumar I B,Independent,412,5,417,0.29,Kasaragod,Kasaragod,OTH,,,
7,Sudhakaran K,Independent,192,4,196,0.14,Kasaragod,Kasaragod,OTH,,,
8,Nota,None of the Above,629,10,639,0.44,Kasaragod,Kasaragod,OTH,,,
1,C H Kunhambu,Communist Party of India (Marxist),76733,1931,78664,47.58,Udma,Kasaragod,LDF,,,
2,Balakrishnan Periye,Indian National Congress,64117,1225,65342,39.52,Udma,Kasaragod,UDF,,,
3,A Velayudhan,Bharatiya Janata Party,19978,382,20360,12.31,Udma,Kasaragod,NDA,,,
