2,3,Party,Votes,Round,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4502,R-1,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4850,R-2,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4709,R-3,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,2636,R-4,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3621,R-5,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3988,R-6,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,5117,R-7,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3997,R-8,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4234,R-9,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4264,R-10,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3536,R-11,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3316,R-12,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3981,R-13,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4537,R-14,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,2958,R-15,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,2876,R-16,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,2068,R-17,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),1844,R-1,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2093,R-2,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2203,R-3,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2676,R-4,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2549,R-5,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2333,R-6,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),1693,R-7,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2090,R-8,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2158,R-9,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2639,R-10,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2750,R-11,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2181,R-12,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2161,R-13,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2486,R-14,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),3197,R-15,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),3125,R-16,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),1920,R-17,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4192,R-1,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3326,R-2,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,2758,R-3,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4348,R-4,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4779,R-5,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3548,R-6,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,2960,R-7,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3834,R-8,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3004,R-9,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3337,R-10,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,5134,R-11,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3973,R-12,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3325,R-13,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,2862,R-14,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3577,R-15,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4505,R-16,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4538,R-17,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,13,R-1,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,15,R-2,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,6,R-3,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,23,R-4,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,10,R-5,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,11,R-6,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,9,R-7,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,13,R-8,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,8,R-9,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,11,R-10,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,24,R-11,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,15,R-12,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,19,R-13,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,9,R-14,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,18,R-15,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,14,R-16,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,32,R-17,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,13,R-1,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,11,R-2,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,5,R-3,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,18,R-4,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,16,R-5,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,3,R-6,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,5,R-7,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,5,R-8,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,8,R-9,,,,,,,
